Year,OBS_STATUS,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Custom Breakdown,Composite breakdown,Unit of measure,Observation status,Nature of data points,Observation-level footnotes,Source details,Label for custom breakdown,Value
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Shrub-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,2853.4
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Shrub-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,2916
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Shrub-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,2823.8
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Shrub-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,2702.4
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Shrub-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,2662.8
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Shrub-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,2636.3
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Sparsely natural vegetated areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1716.8
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Sparsely natural vegetated areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1739.4
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Sparsely natural vegetated areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1773.9
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],,Land Cover: Sparsely natural vegetated areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1787.7
