Year,SOURCE_DETAIL,Sex,Degree of urbanisation,Income or wealth quantile,Education level,Observation-level footnotes,COMMENT_OBS,Value
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Rural,Quintile 2,Upper secondary education,,,20.93574
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Rural,Quintile 2,Upper secondary education,,,40.02515
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Rural,Quintile 3,Primary education,,,58.57016
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Rural,Quintile 3,Primary education,,,83.60568
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Rural,Quintile 3,Primary education,,,88.08559
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Rural,Quintile 3,Primary education,,,94.94596
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Rural,Quintile 3,Lower secondary education,,,32.75355
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Rural,Quintile 3,Lower secondary education,,,59.88042
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Rural,Quintile 3,Lower secondary education,,,73.58475
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Rural,Quintile 3,Lower secondary education,,,88.37699
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Rural,Quintile 3,Upper secondary education,,,14.23916
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Rural,Quintile 3,Upper secondary education,,,24.37081
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Rural,Quintile 3,Upper secondary education,,,33.73571
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Rural,Quintile 3,Upper secondary education,,,55.54352
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Rural,Quintile 4,Primary education,,,69.19624
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Rural,Quintile 4,Primary education,,,89.53118
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Rural,Quintile 4,Primary education,,,94.39088
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Rural,Quintile 4,Primary education,,,97.74859
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Rural,Quintile 4,Lower secondary education,,,46.93396
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Rural,Quintile 4,Lower secondary education,,,72.1963
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Rural,Quintile 4,Lower secondary education,,,83.34023
