Year,NATURE,SOURCE_DETAIL,SDG Series,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Composite breakdown,Nature of data points,Source details,COMMENT_OBS,Observation-level footnotes,Value
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Quintile 3,Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,0.82132
2022,C,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Quintile 3,Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,1.06349
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Quintile 4,Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,1.09338
2008,C,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Quintile 4,Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,1.04968
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Quintile 4,Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,1.02646
2022,C,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Quintile 4,Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,1.0172
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Quintile 4,Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,1.02338
2008,C,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Quintile 4,Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,1.10508
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Quintile 4,Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,1.0874
2022,C,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,,Quintile 4,Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,1.00735
