Year,UNIT_MULT,SOURCE_DETAIL,SDG Series,Economic activity,Unit of measure,Unit multiplier,Source details,BASE_PER,Base period,Value
2014,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,2.16
2015,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,2.45
2016,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,2.54
2017,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,2.47
2018,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,2.66
2019,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,2.42
2020,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,2.43
2021,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,2.87
2022,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,3.27
2000,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,2021,0.069
2001,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,2021,0.06
2002,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,2021,0.058
2003,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,2021,0.048
2004,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,2021,0.052
2005,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,2021,0.055
2006,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2021,2021,0.059
