Year,SOURCE_DETAIL,SDG Series,Composite breakdown,Source details,Value
2021,African Development Bank Group Annual Report 2022,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2022,1.39035
2022,African Development Bank Group Annual Report 2022,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2022,1.35853
2005,Report of the Economic and Social Council for 2005 (A/60/3),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2021 Session (A/76/3/),1.85185
2019,Report of the Economic and Social Council on its 2019 Session (A/74/3),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2021 Session (A/76/3/),1.85185
2020,Report of the Economic and Social Council on its 2020 Session (A/75/3/Rev.1),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2021 Session (A/76/3/),1.85185
2021,Report of the Economic and Social Council on its 2021 Session (A/76/3/),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2021 Session (A/76/3/),1.85185
2000,The World Bank Annual Report 2000: Financial Statement and Appendixes to the Annual Report,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.1684
2005,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2005","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.1675
2010,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2010","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.1672
2015,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2015","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.1517
