Year,SDG Series,Type of product,Unit of measure,BASE_PER,Base period,Value
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,0.39351
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,0.35028
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,0.42345
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,0.39509
2020,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,0.42433
2021,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,0.37788
2022,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,0.37738
2023,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,0.37042
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,0.98638
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,0.9729
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,0.99474
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,1.0005
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,1.05593
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,1.00472
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,0.90799
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,1.52011
