Year,SDG Series,Type of product,Unit of measure,BASE_PER,Base period,Value
2023,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.01321
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.02388
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.02875
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.02689
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.02643
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.01067
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.01102
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.00736
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.04116
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.00499
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.01412
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.02756
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.01762
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.03755
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.02199
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.00747
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.00442
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,-5e-05
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.00556
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.0052
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.00502
2020,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.00271
2021,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.00251
2022,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.00263
2023,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.00262
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,1.16535
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,1.09375
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,0.30151
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,0.22601
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,0.26063
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,0.34711
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,0.3657
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,0.40865
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,0.41768
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,0.49235
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,0.53992
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,0.41581
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,0.57616
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,0.66675
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,0.65563
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,0.79825
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,0.68284
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,0.56964
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,0.68512
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,0.66257
2020,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,0.65941
2021,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,0.64946
2022,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,0.64109
2023,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2015,2015,0.61324
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.07209
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.05569
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.04338
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.04348
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.05422
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.04517
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.04049
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.03664
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.04028
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.03422
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.03063
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.03524
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.02144
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.0146
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.00704
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.0071
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.00672
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.0061
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.00865
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.00726
2020,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.00978
2021,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.00927
2022,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.0088
2023,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2015,2015,0.0081
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.00189
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.00181
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.0027
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.00244
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.00272
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.00297
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.00374
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.00316
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.00324
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.00267
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.00423
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.00653
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.0056
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.00596
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.00704
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.0071
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.00672
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.0061
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.00865
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.00726
2020,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.00978
2021,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.00927
2022,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.0088
2023,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2015,2015,0.0081
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.0702
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.05388
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.04068
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.04104
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.0515
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.0422
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.03676
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.03348
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.03704
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.03154
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.02639
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.02871
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.01584
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.00864
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.0
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.0
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.0
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.0
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.0
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.0
2020,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.0
2021,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.0
2022,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.0
2023,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2015,2015,0.0
2000,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,117253392.99947
2001,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,122340254.29043
2002,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,92675791.70814
2003,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,92198587.14149
2004,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,97377318.53892
2005,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,108885645.96432
2006,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,111885354.64692
2007,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,140855844.3472
2008,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,140916964.24984
2009,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,146023470.49483
2010,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,158548929.96996
2011,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,150791952.8422
2012,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,166155016.95359
2013,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,175088459.59351
2014,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,171542990.88006
2015,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,197087995.64167
2016,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,191883093.67409
2017,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,181454475.69379
2018,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,201226001.60498
2019,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,213707227.96772
2020,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,228925829.93524
2021,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,220495850.51775
2022,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,224512685.32058
2023,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,,223103811.71636
2000,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,40258475.1053
2001,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,39352927.6418
2002,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,10525527.0878
2003,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,8352914.7288
2004,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,10113610.16615
2005,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,13894778.27515
2006,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,15591992.4845
2007,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,18894493.1013
2008,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,19114480.6518
2009,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,24622600.3637
2010,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,29259816.8786
2011,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,23716229.29237
2012,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,34689575.21863
2013,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,41292920.77705
2014,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,43211862.05259
2015,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,55164540.38192
2016,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,49102657.06068
2017,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,42299959.91226
2018,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,54208695.70962
2019,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,55136943.31873
2020,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,54759329.20802
2021,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,58028797.8016
2022,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,60064748.80014
2023,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,60655068.54561
2000,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,446217.776
2001,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,557550.46
2002,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,539418.639
2003,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,182173.386
2004,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,231358.744
2005,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,697001.413
2006,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,753965.949
2007,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,622505.181
2008,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,880004.286
2009,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,787416.978
2010,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,850754.974
2011,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,660549.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,592669.345
2013,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,1093678.71
2014,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,569862.37
2015,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,809052.667
2016,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,813358.234
2017,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,930043.2664
2018,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,711807.74623
2019,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,714021.3072
2020,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,673538.44194
2021,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,712029.49197
2022,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,736900.35988
2023,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,736650.67514
2000,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,71928083.2315
2001,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,76792199.9066
2002,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,77662127.3455
2003,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,80073081.5049
2004,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,83236153.3245
2005,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,90649217.304
2006,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,91152504.6434
2007,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,114405503.2209
2008,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,116311807.8911
2009,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,114750176.3891
2010,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,120895407.4478
2011,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,120331449.2574
2012,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,123948193.3396
2013,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,122895058.3146
2014,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,122925626.4218
2015,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,127279696.9409
2016,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,127454698.1928
2017,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,122156092.73589
2018,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,129924560.32808
2019,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,140693435.20487
2020,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,156625004.07345
2021,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,144336850.09477
2022,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,145921157.17806
2023,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,143944725.40341
2000,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,14917498.93
2001,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,16678212.54
2002,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,16485421.6
2003,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,16609512.99
2004,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,16912633.96
2005,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,19866167.31
2006,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,20870165.95
2007,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,20871779.11
2008,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,20992907.1
2009,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,23142057.07
2010,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,23859078.5
